year,source,target,id,type,citationcount,count
1993,William J. Weiland,Ben Shneiderman,53e9b844b7602d9704407c41,Co-co-author,28.0,1
1994,Andrew J. Hanson,George Francis,53e9a981b7602d97032d9675,Co-co-author,1.0,1
1994,Andrew J. Hanson,Tamara Munzner,53e9a981b7602d97032d9675,Co-co-author,1.0,1
1994,Andrew Sears,Ben Shneiderman,53e9bc3bb7602d97048ae1d5,Co-co-author,335.0,1
1994,Batya Friedman,Ben Shneiderman,53e9a002b7602d97028e3f1e,Co-co-author,2.0,1
1994,Batya Friedman,Lucy Suchman,53e9a002b7602d97028e3f1e,Co-co-author,2.0,1
1994,Batya Friedman,Nancy Levenson,53e9a002b7602d97028e3f1e,Co-co-author,2.0,1
1994,Batya Friedman,Terry Winograd,53e9a002b7602d97028e3f1e,Co-co-author,2.0,1
1994,Ben Shneiderman,Catherine Plaisant,53e9b689b7602d97041f9ca6,Co-co-author,54.0,1
1994,Christopher Ahlberg,Ben Shneiderman,53e999cab7602d970220dd00,Co-co-author,305.0,1
1994,Christopher Ahlberg,Ben Shneiderman,53e9af12b7602d970394c112,Co-co-author,137.0,1
1994,Christopher Ahlberg,Ben Shneiderman,53e9b976b7602d9704561df6,Co-co-author,1519.0,1
1994,Ehud Rivlin,Ben Shneiderman,53e99e5bb7602d970271f34c,Co-co-author,168.0,1
1994,Ehud Rivlin,Rodrigo Botafogo,53e99e5bb7602d970271f34c,Co-co-author,168.0,1
1994,Kwan-Liu Ma,Charles D. Hansen,573696606e3b12023e56d5da,Co-co-author,492.0,1
1994,Kwan-Liu Ma,James S. Painter,573696606e3b12023e56d5da,Co-co-author,492.0,1
1994,Kwan-Liu Ma,Michael Krogh,573696606e3b12023e56d5da,Co-co-author,492.0,1
1994,Kwan-Liu Ma,Z. C. Zheng,53e9b7adb7602d9704357524,Co-co-author,34.0,1
1994,Marc Brown,Blaine Price,53e997c1b7602d9701fac36e,Co-co-author,167.0,1
1994,Marc Brown,Blaine Price,53e9bd64b7602d9704a02eac,Co-co-author,10.0,1
1994,Marc Brown,John Domingue,53e997c1b7602d9701fac36e,Co-co-author,167.0,1
1994,Marc Brown,John Domingue,53e9bd64b7602d9704a02eac,Co-co-author,10.0,1
1994,Marc Brown,John Stasko,53e997c1b7602d9701fac36e,Co-co-author,167.0,1
1994,Marc Brown,John Stasko,53e9bd64b7602d9704a02eac,Co-co-author,10.0,1
1994,Richard Chimera,Ben Shneiderman,53e9b240b7602d9703cdce9e,Co-co-author,165.0,1
1994,Vinit Jain,Ben Shneiderman,53e9b937b7602d9704521ed9,Co-co-author,33.0,1
1995,Anne Rose,Ben Shneiderman,53e9baa0b7602d97046cf5f7,Co-co-author,61.0,1
1995,Anne Rose,Catherine Plaisant,53e9baa0b7602d97046cf5f7,Co-co-author,61.0,1
1995,Ben Shneiderman,Ellen Yu Borkowski,53e9ab3db7602d97034cb583,Co-co-author,142.0,1
1995,Ben Shneiderman,Kent Norman,53e9ab3db7602d97034cb583,Co-co-author,142.0,1
1995,Ben Shneiderman,Maryann Alavi,53e9ab3db7602d97034cb583,Co-co-author,142.0,1
1995,Carl Machover,Fabio Pettinati,53e99bd5b7602d9702481863,Co-co-author,0.0,1
1995,Carl Machover,Gavin Bell,53e99bd5b7602d9702481863,Co-co-author,0.0,1
1995,Carl Machover,Tamara Munzner,53e99bd5b7602d9702481863,Co-co-author,0.0,1
1995,Carl Machover,Val Watson,53e99bd5b7602d9702481863,Co-co-author,0.0,1
1995,Catherine Plaisant,Ben Shneiderman,53e9b5e7b7602d970413b833,Co-co-author,294.0,1
1995,Catherine Plaisant,Ben Shneiderman,53e9bb59b7602d970479594c,Co-co-author,24.0,1
1995,Catherine Plaisant,David Carr,53e9b5e7b7602d970413b833,Co-co-author,294.0,1
1995,Doug Riecken,Ben Shneiderman,53e9a946b7602d970329908f,Co-co-author,4.0,1
1995,Doug Riecken,David Canfield Smith,53e9a946b7602d970329908f,Co-co-author,4.0,1
1995,Doug Riecken,Pattie Maes,53e9a946b7602d970329908f,Co-co-author,4.0,1
1995,Jenny Preece,Ben Shneiderman,53e9b05cb7602d9703abdfa7,Co-co-author,15.0,1
1995,Mark Guzdial,Ben Shneiderman,53e9b0a0b7602d9703b0b250,Co-co-author,18.0,1
1995,Mark Guzdial,Elliot Soloway,53e9b0a0b7602d9703b0b250,Co-co-author,18.0,1
1995,Mark Guzdial,Gerhard Fischer,53e9b0a0b7602d9703b0b250,Co-co-author,18.0,1
1995,Mark Guzdial,John M. Carroll,53e9b0a0b7602d9703b0b250,Co-co-author,18.0,1
1995,Mark Guzdial,Roger C. Schank,53e9b0a0b7602d9703b0b250,Co-co-author,18.0,1
1995,Mark Guzdial,Yasmin B. Kafai,53e9b0a0b7602d9703b0b250,Co-co-author,18.0,1
1995,Nina Amenta,Mark Phillips,53e9ba17b7602d970461fdbe,Co-co-author,61.0,1
1995,Nina Amenta,Stuart Levy,53e9ba17b7602d970461fdbe,Co-co-author,61.0,1
1995,Nina Amenta,Tamara Munzner,53e9ba17b7602d970461fdbe,Co-co-author,61.0,1
1995,S. K. Ueng,K. Sikorski,53e9b212b7602d9703ca8267,Co-co-author,33.0,1
1995,S. K. Ueng,Kwan-Liu Ma,53e9b212b7602d9703ca8267,Co-co-author,33.0,1
1995,Tamara Munzner,Paul Burchard,53e99c91b7602d9702543e0c,Co-co-author,311.0,1
1995,Tiziana Catarci,Ben Shneiderman,53e9aa95b7602d970340d8f8,Co-co-author,3.0,1
1995,Tiziana Catarci,Isabel F. Cruz,53e9aa95b7602d970340d8f8,Co-co-author,3.0,1
1995,Tiziana Catarci,Maria Francesca Costabile,53e9aa95b7602d970340d8f8,Co-co-author,3.0,1
1995,Tiziana Catarci,Yannis E. Ioannidis,53e9aa95b7602d970340d8f8,Co-co-author,3.0,1
1995,Toshiyuki Asahi,Ben Shneiderman,53e9a72eb7602d9703066d35,Co-co-author,116.0,1
1995,Toshiyuki Asahi,Ben Shneiderman,53e9b1d1b7602d9703c61413,Co-co-author,41.0,1
1995,Toshiyuki Asahi,David Turo,53e9a72eb7602d9703066d35,Co-co-author,116.0,1
1995,Toshiyuki Asahi,David Turo,53e9b1d1b7602d9703c61413,Co-co-author,41.0,1
1996,Amnon Shabo,John Stasko,53e9a4cfb7602d9702ded4ba,Co-co-author,4.0,1
1996,Amnon Shabo,Mark Guzdial,53e9a4cfb7602d9702ded4ba,Co-co-author,4.0,1
1996,Egemen Tanin,Ben Shneiderman,53e9acbcb7602d970369b25e,Co-co-author,48.0,1
1996,Egemen Tanin,Richard Beigel,53e9acbcb7602d970369b25e,Co-co-author,48.0,1
1996,Francis Harvey,Ben Gross,53e99ad7b7602d9702359958,Co-co-author,1.0,1
1996,Francis Harvey,Ben Shneiderman,53e99ad7b7602d9702359958,Co-co-author,1.0,1
1996,Francis Harvey,Philip E. Agre,53e99ad7b7602d9702359958,Co-co-author,1.0,1
1996,Gordon Shippey,Ashwin Ram,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Gordon Shippey,Florian Albrecht,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Gordon Shippey,Janis Roberts,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Gordon Shippey,John Stasko,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Gordon Shippey,Mark Guzdial,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Gordon Shippey,Michael Byrne,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Gordon Shippey,Richard Catrambone,53e9a238b7602d9702b3e844,Co-co-author,7.0,1
1996,Han-Wei Shen,Christopher R. Johnson,53e99959b7602d970219879b,Co-co-author,138.0,1
1996,Han-Wei Shen,Kwan-Liu Ma,53e99959b7602d970219879b,Co-co-author,138.0,1
1996,Kwan-Liu Ma,John Van Rosendale,53e9a52cb7602d9702e4d294,Co-co-author,81.0,1
1996,Kwan-Liu Ma,Willem Vermeer,53e9a52cb7602d9702e4d294,Co-co-author,81.0,1
1996,Michael Joyce,Ben Shneiderman,53e9a29eb7602d9702ba8ba5,Co-co-author,0.0,1
1996,Michael Joyce,John Merritt Unsworth,53e9a29eb7602d9702ba8ba5,Co-co-author,0.0,1
1996,Michael Joyce,Robert Kolker,53e9a29eb7602d9702ba8ba5,Co-co-author,0.0,1
1996,Michael Joyce,Stuart Moulthrop,53e9a29eb7602d9702ba8ba5,Co-co-author,0.0,1
1996,Shyh-Kuang Ueng,Christopher Sikorski,53e99a1ab7602d970226f94a,Co-co-author,122.0,1
1996,Shyh-Kuang Ueng,Kwan-Liu Ma,53e99a1ab7602d970226f94a,Co-co-author,122.0,1
1996,Tamara Munzner,Bill Fenner,53e9b9f5b7602d97045ef2bd,Co-co-author,119.0,1
1996,Tamara Munzner,Eric Hoffman,53e9b9f5b7602d97045ef2bd,Co-co-author,119.0,1
1996,Tamara Munzner,kc claffy,53e9b9f5b7602d97045ef2bd,Co-co-author,119.0,1
1997,Amnon Shabo,John Stasko,53e9bbb5b7602d97048012f5,Co-co-author,31.0,1
1997,Amnon Shabo,Mark Guzdial,53e9bbb5b7602d97048012f5,Co-co-author,31.0,1
1997,Ben Shneiderman,Pattie Maes,53e9aba4b7602d9703551cb0,Co-co-author,502.0,1
1997,Ben Shneiderman,W. Bruce Croft,53e9a5e2b7602d9702f0b9a7,Co-co-author,368.0,1
1997,Ben Shneiderman,Donald Byrd,53e9a5e2b7602d9702f0b9a7,Co-co-author,368.0,1
1997,Catherine Plaisant,Ben Shneiderman,53e9be09b7602d9704abbab7,Co-co-author,16.0,1
1997,Catherine Plaisant,Khoa Doan,53e9be09b7602d9704abbab7,Co-co-author,16.0,1
1997,Catherine Plaisant,Tom Bruns,53e9be09b7602d9704abbab7,Co-co-author,16.0,1
1997,Egemen Tanin,Ben Shneiderman,53e9adc8b7602d97037d0e75,Co-co-author,28.0,1
1997,Egemen Tanin,Ben Shneiderman,635bcab890e50fcafd33d0cc,Co-co-author,31.0,1
1997,Egemen Tanin,Richard Beigel,53e9adc8b7602d97037d0e75,Co-co-author,28.0,1
1997,Egemen Tanin,Richard Beigel,635bcab890e50fcafd33d0cc,Co-co-author,31.0,1
1997,Eser Kandogan,Ben Shneiderman,53e9988cb7602d97020c50d0,Co-co-author,206.0,1
1997,Eser Kandogan,Ben Shneiderman,53e9a178b7602d9702a6d94c,Co-co-author,74.0,1
1997,Harsha P. Kumar,Ben Shneiderman,53e9a1edb7602d9702aeb1bc,Co-co-author,143.0,1
1997,Harsha P. Kumar,Catherine Plaisant,53e9a1edb7602d9702aeb1bc,Co-co-author,143.0,1
1997,Jim Miller,Ben Shneiderman,53e9a003b7602d97028e91b5,Co-co-author,5.0,1
1997,Jim Miller,Pattie Maes,53e9a003b7602d97028e91b5,Co-co-author,5.0,1
1997,Khoa Doan,Ben Shneiderman,53e9b7d9b7602d9704388db5,Co-co-author,36.0,1
1997,Khoa Doan,Catherine Plaisant,53e9b7d9b7602d9704388db5,Co-co-author,36.0,1
1997,Khoa Doan,Tom Bruns,53e9b7d9b7602d9704388db5,Co-co-author,36.0,1
1997,Kwan-Liu Ma,Victoria Interrante,53e9b6e1b7602d9704274a7f,Co-co-author,51.0,1
1997,Laura A. Slaughter,Ben Shneiderman,53e9bde2b7602d9704a9644c,Co-co-author,13.0,1
1997,Laura A. Slaughter,Gary Marchionini,53e9bde2b7602d9704a9644c,Co-co-author,13.0,1
