year,name,posX,posY
2021,Michael Oppermann,0.5526300559946123,0.6304762442715721
2021,Charles Berret,0.8231670065308698,0.7896415407982185
2021,Tamara Munzner,0.6658206982681263,0.6623511217292223
2021,Stephen Kasica,0.8231670065308698,0.7896415407982185
2021,Jürgen Bernard,0.6792028931043217,0.5759385026271007
2021,Michael Sedlmair,0.6792028931043217,0.5759385026271007
2021,Marco Hutter,0.6792028931043217,0.5759385026271007
2021,Tamara Munzner,0.6658206982681263,0.6623511217292223
2021,Matthias Zeppelzauer,0.6792028931043217,0.5759385026271007
2021,Luce Liu,0.45909912010636716,0.7127134147665543
2021,Tamara Munzner,0.6658206982681263,0.6623511217292223
2021,Michael Oppermann,0.5526300559946123,0.6304762442715721
2021,Jürgen Bernard,0.6792028931043217,0.5759385026271007
2021,Michael Sedlmair,0.6792028931043217,0.5759385026271007
2021,Marco Hutter,0.6792028931043217,0.5759385026271007
2021,Tamara Munzner,0.6658206982681263,0.6623511217292223
2021,Matthias Zeppelzauer,0.6792028931043217,0.5759385026271007
2022,Jürgen Bernard,0.5579921325421238,0.5349619761915859
2022,Zipeng Liu,0.5579921325421238,0.5349619761915859
2022,Tamara Munzner,0.4424961508988438,0.7241606948811424
2022,Yang Wang,0.5579921325421238,0.5349619761915859
2022,Anamaria Crisan,0.1536172195552401,0.21700425333580847
2022,Jennifer L. Gardy,0.1536172195552401,0.21700425333580847
2022,Tamara Munzner,0.4424961508988438,0.7241606948811424
2022,Shannah E Fisher,0.1536172195552401,0.21700425333580847
2022,Tamara Munzner,0.4424961508988438,0.7241606948811424
2022,Michael Oppermann,0.5817931242507036,0.35614690995226334
2022,Jordon Johnson,0.46863639300308324,0.7431395303919526
2022,Giuseppe Carenini,0.46863639300308324,0.7431395303919526
2022,Tamara Munzner,0.4424961508988438,0.7241606948811424
2022,Emily Hindalong,0.46863639300308324,0.7431395303919526
